timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/09 12:27:59.917, 20874, 24467, 0, 0, 3.05, 180, 28
2026/09/09 12:28:00.918, 20874, 24467, 0, 0, 3.13, 180, 28
2026/09/09 12:28:01.918, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:28:02.918, 20874, 24467, 0, 0, 3.19, 180, 28
2026/09/09 12:28:03.919, 20874, 24467, 0, 0, 3.17, 180, 28
2026/09/09 12:28:04.919, 20874, 24467, 0, 0, 3.19, 180, 28
2026/09/09 12:28:05.919, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:28:06.920, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:28:07.920, 20874, 24467, 0, 0, 3.04, 180, 28
2026/09/09 12:28:08.921, 20874, 24467, 0, 0, 3.07, 180, 28
2026/09/09 12:28:09.921, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:28:10.921, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:28:11.922, 20874, 24467, 0, 0, 3.18, 180, 28
2026/09/09 12:28:12.922, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:28:13.922, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:28:14.923, 20874, 24467, 0, 0, 2.98, 180, 28
2026/09/09 12:28:15.923, 20874, 24467, 0, 0, 2.94, 180, 28
2026/09/09 12:28:16.923, 20874, 24467, 0, 0, 3.01, 180, 28
2026/09/09 12:28:17.924, 20874, 24467, 0, 0, 2.98, 180, 28
2026/09/09 12:28:18.924, 20874, 24467, 0, 0, 3.00, 180, 28
2026/09/09 12:28:19.925, 20874, 24467, 0, 0, 3.15, 180, 28
2026/09/09 12:28:20.925, 20874, 24467, 0, 0, 3.18, 180, 28
2026/09/09 12:28:21.925, 20874, 24467, 0, 0, 3.14, 180, 28
2026/09/09 12:28:22.926, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:28:23.926, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:28:24.926, 20874, 24467, 0, 0, 3.07, 180, 28
2026/09/09 12:28:25.927, 20874, 24467, 0, 0, 2.99, 180, 28
2026/09/09 12:28:26.927, 20874, 24467, 0, 0, 2.91, 180, 28
2026/09/09 12:28:27.927, 20874, 24467, 0, 0, 2.93, 180, 28
2026/09/09 12:28:28.928, 20874, 24467, 0, 0, 2.97, 180, 28
2026/09/09 12:28:29.928, 20874, 24467, 0, 0, 3.01, 180, 28
2026/09/09 12:28:30.928, 20874, 24467, 0, 0, 3.07, 180, 28
2026/09/09 12:28:31.929, 20874, 24467, 0, 0, 3.04, 180, 28
2026/09/09 12:28:32.929, 20874, 24467, 0, 0, 3.03, 180, 28
2026/09/09 12:28:33.929, 20874, 24467, 0, 0, 3.10, 180, 28
2026/09/09 12:28:34.930, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:28:35.930, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:28:36.930, 20874, 24467, 0, 0, 3.02, 180, 28
2026/09/09 12:28:37.931, 20874, 24467, 0, 0, 3.01, 180, 28
2026/09/09 12:28:38.931, 20874, 24467, 0, 0, 2.99, 180, 28
2026/09/09 12:28:39.932, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:28:40.932, 20874, 24467, 0, 0, 3.08, 180, 28
2026/09/09 12:28:41.932, 20874, 24467, 0, 0, 3.04, 180, 28
2026/09/09 12:28:42.933, 20874, 24467, 0, 0, 3.05, 180, 28
2026/09/09 12:28:43.933, 20874, 24467, 0, 0, 3.05, 180, 28
2026/09/09 12:28:44.933, 20874, 24467, 0, 0, 3.02, 180, 28
2026/09/09 12:28:45.934, 20874, 24467, 0, 0, 3.13, 180, 28
2026/09/09 12:28:46.934, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:28:47.934, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:28:48.935, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:28:49.935, 20874, 24467, 0, 0, 3.14, 180, 28
2026/09/09 12:28:50.935, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:28:51.936, 20874, 24467, 0, 0, 3.04, 180, 28
2026/09/09 12:28:52.936, 20874, 24467, 0, 0, 3.07, 180, 28
2026/09/09 12:28:53.936, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:28:54.937, 20874, 24467, 0, 0, 3.13, 180, 28
2026/09/09 12:28:55.937, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:28:56.937, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:28:57.938, 20874, 24467, 0, 0, 3.75, 180, 28
2026/09/09 12:28:58.938, 20874, 24467, 0, 0, 3.02, 180, 28
2026/09/09 12:28:59.938, 20874, 24467, 0, 0, 3.04, 180, 28
2026/09/09 12:29:00.939, 20874, 24467, 0, 0, 3.13, 180, 28
2026/09/09 12:29:01.939, 20874, 24467, 0, 0, 3.10, 172, 28
2026/09/09 12:29:02.940, 20874, 24467, 0, 0, 3.08, 180, 28
2026/09/09 12:29:03.940, 20874, 24467, 0, 0, 3.05, 180, 28
2026/09/09 12:29:04.940, 20874, 24467, 0, 0, 3.06, 180, 28
2026/09/09 12:29:05.941, 20874, 24467, 0, 0, 3.14, 180, 28
2026/09/09 12:29:06.941, 20874, 24467, 0, 0, 3.16, 180, 28
2026/09/09 12:29:07.941, 20874, 24467, 0, 0, 3.13, 180, 28
2026/09/09 12:29:08.942, 20874, 24467, 0, 0, 3.09, 172, 28
2026/09/09 12:29:09.942, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:29:10.942, 20874, 24467, 0, 0, 3.28, 180, 28
2026/09/09 12:29:11.943, 20874, 24467, 0, 0, 3.17, 180, 28
2026/09/09 12:29:12.943, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:29:13.943, 20874, 24467, 0, 0, 3.16, 180, 28
2026/09/09 12:29:14.944, 20874, 24467, 0, 0, 3.17, 180, 28
2026/09/09 12:29:15.944, 20874, 24467, 0, 0, 3.10, 172, 28
2026/09/09 12:29:16.944, 20874, 24467, 0, 0, 2.94, 180, 28
2026/09/09 12:29:17.945, 20874, 24467, 0, 0, 2.98, 180, 28
2026/09/09 12:29:18.945, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:29:19.945, 20874, 24467, 0, 0, 3.07, 180, 28
2026/09/09 12:29:20.946, 20874, 24467, 0, 0, 3.20, 180, 28
2026/09/09 12:29:21.946, 20874, 24467, 0, 0, 3.14, 180, 28
2026/09/09 12:29:22.946, 20874, 24467, 0, 0, 3.16, 180, 28
2026/09/09 12:29:23.947, 20874, 24467, 0, 0, 3.05, 180, 28
2026/09/09 12:29:24.947, 20874, 24467, 0, 0, 3.06, 180, 28
2026/09/09 12:29:25.947, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:29:26.948, 20874, 24467, 0, 0, 3.14, 180, 28
2026/09/09 12:29:27.948, 20874, 24467, 0, 0, 3.21, 180, 28
2026/09/09 12:29:28.948, 20874, 24467, 0, 0, 3.06, 180, 28
2026/09/09 12:29:29.949, 20874, 24467, 0, 0, 3.05, 180, 28
2026/09/09 12:29:30.949, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:29:31.949, 20874, 24467, 0, 0, 3.05, 180, 28
2026/09/09 12:29:32.950, 20874, 24467, 0, 0, 3.05, 180, 28
2026/09/09 12:29:33.950, 20874, 24467, 0, 0, 3.24, 180, 28
2026/09/09 12:29:34.950, 20874, 24467, 0, 0, 3.20, 180, 28
2026/09/09 12:29:35.951, 20874, 24467, 0, 0, 3.22, 180, 28
2026/09/09 12:29:36.951, 20874, 24467, 0, 0, 3.21, 180, 28
2026/09/09 12:29:37.951, 20874, 24467, 0, 0, 3.18, 180, 28
2026/09/09 12:29:38.952, 20874, 24467, 0, 0, 3.06, 180, 28
2026/09/09 12:29:39.952, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:29:40.952, 20874, 24467, 0, 0, 3.19, 180, 28
2026/09/09 12:29:41.953, 20874, 24467, 0, 0, 3.22, 180, 28
2026/09/09 12:29:42.953, 20874, 24467, 0, 0, 3.30, 180, 28
2026/09/09 12:29:43.953, 20874, 24467, 0, 0, 3.36, 180, 28
2026/09/09 12:29:44.954, 20874, 24467, 0, 0, 3.28, 180, 28
2026/09/09 12:29:45.954, 20874, 24467, 0, 0, 3.27, 180, 28
2026/09/09 12:29:46.955, 20874, 24467, 0, 0, 3.44, 180, 28
2026/09/09 12:29:47.955, 20874, 24467, 0, 0, 3.45, 180, 28
2026/09/09 12:29:48.955, 20874, 24467, 0, 0, 3.48, 180, 28
2026/09/09 12:29:49.956, 20874, 24467, 0, 0, 3.51, 180, 28
2026/09/09 12:29:50.956, 20874, 24467, 0, 0, 3.33, 180, 28
2026/09/09 12:29:51.956, 20874, 24467, 0, 0, 3.35, 180, 28
2026/09/09 12:29:52.957, 20874, 24467, 0, 0, 3.34, 180, 28
2026/09/09 12:29:53.957, 20874, 24467, 0, 0, 3.27, 180, 28
2026/09/09 12:29:54.957, 20874, 24467, 0, 0, 3.17, 180, 28
2026/09/09 12:29:55.958, 20874, 24467, 0, 0, 3.59, 180, 28
2026/09/09 12:29:56.958, 20874, 24467, 0, 0, 3.47, 180, 28
2026/09/09 12:29:57.958, 20874, 24467, 0, 0, 3.71, 180, 28
2026/09/09 12:29:58.959, 20874, 24467, 0, 0, 3.40, 180, 28
2026/09/09 12:29:59.959, 20874, 24467, 0, 0, 3.33, 180, 28
2026/09/09 12:30:00.959, 20874, 24467, 0, 0, 3.28, 180, 28
2026/09/09 12:30:01.960, 20874, 24467, 0, 0, 3.31, 180, 28
2026/09/09 12:30:02.960, 20874, 24467, 0, 0, 3.44, 180, 28
2026/09/09 12:30:03.960, 21103, 24467, 0, 0, 4.04, 180, 28
2026/09/09 12:30:04.961, 20874, 24467, 0, 0, 27.70, 2047, 29
2026/09/09 12:30:05.961, 20874, 24467, 0, 0, 29.28, 2047, 29
2026/09/09 12:30:06.962, 20874, 24467, 0, 0, 23.31, 405, 29
2026/09/09 12:30:07.962, 20874, 24467, 0, 0, 16.59, 255, 28
2026/09/09 12:30:08.962, 20874, 24467, 0, 0, 10.90, 180, 28
2026/09/09 12:30:09.963, 20874, 24467, 0, 0, 4.30, 172, 28
2026/09/09 12:30:10.963, 20874, 24467, 0, 0, 29.24, 472, 37
2026/09/09 12:30:11.964, 20874, 24467, 100, 58, 145.49, 1665, 39
2026/09/09 12:30:12.964, 20874, 24467, 100, 88, 144.96, 2040, 38
2026/09/09 12:30:13.964, 20874, 24467, 100, 89, 144.99, 2025, 39
2026/09/09 12:30:14.965, 20874, 24467, 100, 89, 145.05, 1942, 42
2026/09/09 12:30:15.965, 20874, 24467, 100, 57, 145.01, 1657, 43
2026/09/09 12:30:16.965, 20874, 24467, 100, 88, 144.95, 2010, 42
2026/09/09 12:30:17.966, 20874, 24467, 100, 89, 145.01, 1995, 43
2026/09/09 12:30:18.966, 20874, 24467, 100, 89, 121.00, 2130, 39
2026/09/09 12:30:19.967, 20874, 24467, 0, 0, 39.55, 2490, 38
2026/09/09 12:30:20.967, 20874, 24467, 0, 0, 34.69, 2490, 37
2026/09/09 12:30:21.967, 20874, 24467, 0, 0, 29.28, 2047, 37
2026/09/09 12:30:22.968, 20874, 24467, 0, 0, 29.25, 2047, 36
2026/09/09 12:30:23.968, 20874, 24467, 0, 0, 29.29, 2047, 36
2026/09/09 12:30:24.968, 20874, 24467, 0, 0, 29.38, 2047, 36
2026/09/09 12:30:25.969, 20874, 24467, 0, 0, 29.36, 2047, 36
2026/09/09 12:30:26.969, 20874, 24467, 0, 0, 29.24, 2047, 36
2026/09/09 12:30:27.969, 20874, 24467, 0, 0, 29.17, 2047, 36
2026/09/09 12:30:28.970, 20874, 24467, 0, 0, 29.16, 2047, 36
2026/09/09 12:30:29.970, 20874, 24467, 0, 0, 29.15, 2047, 36
2026/09/09 12:30:30.970, 20874, 24467, 0, 0, 29.15, 2047, 36
2026/09/09 12:30:31.971, 20874, 24467, 0, 0, 29.11, 2047, 35
2026/09/09 12:30:32.971, 20874, 24467, 0, 0, 29.09, 2047, 35
2026/09/09 12:30:33.971, 20874, 24467, 0, 0, 29.09, 2047, 35
2026/09/09 12:30:34.972, 20874, 24467, 0, 0, 29.09, 2047, 35
2026/09/09 12:30:35.972, 20874, 24467, 0, 0, 20.42, 2047, 35
2026/09/09 12:30:36.972, 20874, 24467, 0, 0, 14.16, 315, 34
2026/09/09 12:30:37.973, 20874, 24467, 0, 0, 5.29, 195, 34
2026/09/09 12:30:38.973, 20874, 24467, 0, 0, 5.12, 180, 34
2026/09/09 12:30:39.973, 20874, 24467, 0, 0, 3.83, 180, 34
2026/09/09 12:30:40.974, 20874, 24467, 0, 0, 3.88, 180, 34
2026/09/09 12:30:41.974, 20874, 24467, 0, 0, 3.77, 180, 33
2026/09/09 12:30:42.974, 20874, 24467, 0, 0, 3.34, 180, 33
2026/09/09 12:30:43.975, 20874, 24467, 0, 0, 3.69, 180, 33
2026/09/09 12:30:44.975, 20874, 24467, 0, 0, 49.02, 757, 41
2026/09/09 12:30:45.975, 20874, 24467, 100, 58, 145.54, 1657, 43
2026/09/09 12:30:46.976, 20874, 24467, 100, 57, 144.96, 1807, 43
2026/09/09 12:30:47.976, 20874, 24467, 100, 83, 145.00, 1800, 44
2026/09/09 12:30:48.977, 20874, 24467, 100, 84, 145.01, 1800, 45
2026/09/09 12:30:49.977, 20874, 24467, 100, 81, 145.04, 1657, 47
2026/09/09 12:30:50.977, 20874, 24467, 100, 57, 144.99, 1657, 48
2026/09/09 12:30:51.978, 20874, 24467, 100, 83, 144.97, 1777, 48
2026/09/09 12:30:52.978, 20874, 24467, 100, 83, 145.00, 1785, 48
2026/09/09 12:30:53.978, 20874, 24467, 100, 84, 145.00, 1785, 49
2026/09/09 12:30:54.979, 20874, 24467, 100, 56, 145.04, 1650, 51
2026/09/09 12:30:55.979, 20874, 24467, 100, 57, 145.00, 1642, 52
